Tier,Tick,Accuracy,Precision,#TN,#FN,#TP,#FP,Recall (True positive rate),True Negative Rate,False Positive Rate,False Negative rate
9,0,0.9975904582145295,1.0,24803,60,38,0,0.3877551020408163,1.0,0.0,0.6122448979591837
9,1,0.9991857067586339,0.0,20860,17,0,0,0.0,1.0,0.0,1.0
10,0,0.998000959539421,1.0,24941,50,21,0,0.29577464788732394,1.0,0.0,0.704225352112676
10,1,0.999496257915947,1.0,13888,7,1,0,0.125,1.0,0.0,0.875
11,0,0.9984468957827247,1.0,25051,39,21,0,0.35,1.0,0.0,0.65
11,1,0.9997846683893196,1.0,4642,1,1,0,0.5,1.0,0.0,0.5
12,0,0.9986438514618483,1.0,25033,34,4,0,0.10526315789473684,1.0,0.0,0.8947368421052632
12,1,0.9987421383647799,0.0,794,1,0,0,0.0,1.0,0.0,1.0
13,0,0.9985594237695078,1.0,24945,36,9,0,0.2,1.0,0.0,0.8
14,0,0.9989929912188834,1.0,24793,25,8,0,0.24242424242424243,1.0,0.0,0.7575757575757576
15,0,0.9993483750101816,1.0,24531,16,7,0,0.30434782608695654,1.0,0.0,0.6956521739130435
16,0,0.9994175403561325,1.0,24015,14,7,0,0.3333333333333333,1.0,0.0,0.6666666666666666
17,0,0.9992552026286966,0.0,22808,17,0,0,0.0,1.0,0.0,1.0
18,0,0.9995274548719403,1.0,21145,10,7,0,0.4117647058823529,1.0,0.0,0.5882352941176471
19,0,0.9991794310722101,0.0,18265,15,0,0,0.0,1.0,0.0,1.0
20,0,0.999856866814571,1.0,13965,2,6,0,0.75,1.0,0.0,0.25
21,0,0.9996692392502756,1.0,9065,3,2,0,0.4,1.0,0.0,0.6
22,0,0.9991388589881594,1.0,4638,4,3,0,0.42857142857142855,1.0,0.0,0.5714285714285714
23,0,0.9979497693490518,0.0,1947,4,0,0,0.0,1.0,0.0,1.0
24,0,1.0,1.0,794,0,1,0,1.0,1.0,0.0,0.0
